timestamp,frame_id,class_name,confidence,x1,y1,x2,y2,distance,ttc,speed,alert_level
1775793386.371036,523,cow,0.6835376620292664,189,178,215,232,16.203703703703702,3.8888888888888884,15.0,
1775793386.6162977,526,cow,0.6601750254631042,181,179,211,237,15.644955300127712,3.7547892720306506,15.0,
1775793386.6976995,527,cow,0.7395445108413696,176,179,209,240,15.211390965112464,3.650733831626991,15.0,
1775793386.778692,528,cow,0.8118992447853088,172,179,208,242,14.880765446056571,3.571383707053577,15.0,
1775793386.8478255,529,cow,0.7767832279205322,168,179,205,243,14.638987356845258,3.5133569656428616,15.0,
1775793386.9821517,531,dog,0.5491064190864563,159,179,198,249,5.357142857142857,1.2857142857142856,15.0,DANGER
1775793387.6909254,539,cow,0.6199323534965515,112,180,168,270,13.342691060548958,3.20224585453175,15.0,
1775793387.7779915,540,cow,0.7327976822853088,103,180,166,275,12.16755494439651,2.9202131866551624,15.0,
1775793387.8495884,541,cow,0.8585444092750549,91,180,159,290,10.889611576289209,2.61350677830941,15.0,
1775793387.9537148,542,cow,0.8545666337013245,80,180,158,285,9.778500465178096,2.346840111642743,15.0,
1775793388.1239345,544,cow,0.8758928775787354,50,181,139,294,8.592798031549778,2.0622715275719465,15.0,
1775793388.1819108,545,cow,0.7793183922767639,42,182,134,294,8.210853587105333,1.97060486090528,15.0,DANGER
1775793388.3820996,547,cow,0.8525195121765137,10,180,120,302,7.803174553455635,1.8727618928293523,15.0,DANGER
1775793388.5818527,549,cow,0.8212634325027466,1,182,105,305,7.635029690188821,1.832407125645317,15.0,DANGER
